Seccion;ID;Texto actual;Texto nuevo
Navegacion;NAV_01;TALLER GC;
Navegacion;NAV_02;Servicios;
Navegacion;NAV_03;Proceso;
Navegacion;NAV_04;Confianza;
Navegacion;NAV_05;Instagram;
Navegacion;NAV_06;Llamar;
Navegacion;NAV_07;Llamar: 092 084 766;
Hero;HERO_01;Mecanica automotriz en La Teja;
Hero;HERO_02;Tu auto falla.;
Hero;HERO_03;Taller GC lo resuelve.;
Hero;HERO_04;Taller independiente con atencion directa: te atiendo personalmente de principio a fin. Diagnostico tecnico serio, presupuesto claro y seguimiento real de tu auto.;
Hero;HERO_05;Solicitar diagnostico;
Hero;HERO_06;Hablar por WhatsApp;
Hero;HERO_07;Trabajos reales;
Hero;HERO_08;Diagnostico, reparacion y entrega en un solo lugar. Mira el tipo de trabajo que sale del taller.;
Hero;HERO_09;Ver trabajos (Instagram);
Hero;HERO_10;Diagnostico;
Hero;HERO_11;Claro y directo.;
Hero;HERO_12;Reparacion;
Hero;HERO_13;Con criterio tecnico.;
Hero;HERO_14;Entrega;
Hero;HERO_15;Probado y listo.;
Bloque PRR;PRR_01;Problema;
Bloque PRR;PRR_02;Tu auto pierde rendimiento o seguridad;
Bloque PRR;PRR_03;Solucion;
Bloque PRR;PRR_04;Encontramos la causa y la corregimos;
Bloque PRR;PRR_05;Resultado;
Bloque PRR;PRR_06;Volves a manejar con confianza;
Servicios;SERV_01;Servicios principales;
Servicios;SERV_02;Mantenimiento y reparacion para que tu vehiculo rinda como debe;
Servicios;SERV_03;Atiendo desde fallas puntuales hasta mantenimientos programados, con foco en seguridad, rendimiento y durabilidad.;
Servicios;SERV_04;Revision General del Motor;
Servicios;SERV_05;Diagnostico completo del motor para detectar fallas de rendimiento, consumo y temperatura.;
Servicios;SERV_06;Diagnostico computarizado;
Servicios;SERV_07;Revision de filtros;
Servicios;SERV_08;Control de fluidos;
Servicios;SERV_09;Verificacion de correas;
Servicios;SERV_10;Sistema Electrico;
Servicios;SERV_11;Control y reparacion del circuito electrico para asegurar arranque, carga y funcionamiento estable.;
Servicios;SERV_12;Control de bateria;
Servicios;SERV_13;Revision de alternador;
Servicios;SERV_14;Sistema de encendido;
Servicios;SERV_15;Bujias y cables;
Servicios;SERV_16;Frenos y Suspension;
Servicios;SERV_17;Servicio tecnico en frenos y suspension para mejorar seguridad, frenado y estabilidad en manejo.;
Servicios;SERV_18;Pastillas y discos;
Servicios;SERV_19;Liquido de frenos;
Servicios;SERV_20;Amortiguadores;
Servicios;SERV_21;Alineacion y balanceo;
Servicios;SERV_22;Transmision;
Servicios;SERV_23;Mantenimiento y reparacion de caja manual o automatica, con ajuste fino y pruebas de funcionamiento.;
Servicios;SERV_24;Cambio de aceite;
Servicios;SERV_25;Reparacion de fugas;
Servicios;SERV_26;Ajuste de embrague;
Servicios;SERV_27;Diagnostico de fallas;
Servicios;SERV_28;Sistema de Refrigeracion;
Servicios;SERV_29;Control del sistema de refrigeracion para evitar recalentamientos y proteger la vida util del motor.;
Servicios;SERV_30;Control con refractometro;
Servicios;SERV_31;Cambio de refrigerante;
Servicios;SERV_32;Revision de radiador;
Servicios;SERV_33;Termostato y bomba;
Servicios;SERV_34;Servicios Generales;
Servicios;SERV_35;Mantenimiento preventivo y correctivo para mantener tu vehiculo confiable todo el ano.;
Servicios;SERV_36;Cambio de aceite;
Servicios;SERV_37;Filtros y luces;
Servicios;SERV_38;Inspeccion pre-VTV;
Servicios;SERV_39;Servicios programados;
Proceso;PROC_01;Como trabajo;
Proceso;PROC_02;Proceso claro en 4 pasos;
Proceso;PROC_03;Sin complicaciones: reviso el auto, te explico el trabajo y te lo entrego probado.;
Proceso;PROC_04;Diagnostico;
Proceso;PROC_05;Reviso el vehiculo y detecto la causa real del problema con criterio tecnico.;
Proceso;PROC_06;Presupuesto;
Proceso;PROC_07;Te explico trabajo, repuestos y tiempos en un presupuesto claro y sin sorpresas.;
Proceso;PROC_08;Reparacion;
Proceso;PROC_09;Realizo la reparacion con mano de obra especializada y repuestos de calidad.;
Proceso;PROC_10;Entrega;
Proceso;PROC_11;Pruebo el auto, lo entrego y te doy recomendaciones para su cuidado.;
Confianza;CONF_01;Confianza y respaldo;
Confianza;CONF_02;Motivos para confiar;
Confianza;CONF_03;Mi compromiso es simple: resolver bien, cobrar justo y responder con claridad en cada etapa del trabajo.;
Confianza;CONF_04;5;
Confianza;CONF_05;Anos de experiencia;
Confianza;CONF_06;100;
Confianza;CONF_07;Vehiculos reparados;
Confianza;CONF_08;80;
Confianza;CONF_09;Clientes que vuelven;
Confianza;CONF_10;100%;
Confianza;CONF_11;Compromiso con la calidad;
Confianza;CONF_12;Atencion directa;
Confianza;CONF_13;Hablas con la misma persona que diagnostica y repara tu vehiculo.;
Confianza;CONF_14;Presupuesto claro;
Confianza;CONF_15;Te explico trabajo, repuestos y tiempos antes de empezar para que decidas con informacion completa.;
Confianza;CONF_16;Trayectoria tecnica;
Confianza;CONF_17;Experiencia previa en talleres de referencia aplicada a un servicio cercano y profesional.;
Confianza;CONF_18;Seguimiento real;
Confianza;CONF_19;Te explico lo realizado y recomendaciones concretas para mantener el auto en condiciones.;
CTA;CTA_01;AGENDA TU DIAGNOSTICO Y RESOLVE LA FALLA HOY;
CTA;CTA_02;Decinos que le pasa a tu auto y te respondo con una propuesta clara de trabajo.;
CTA;CTA_03;Pedir presupuesto;
CTA;CTA_04;Llamar ahora;
CTA;CTA_05;Atencion con cupos por agenda;
Instagram;IG_01;Trabajos reales;
Instagram;IG_02;Segui el taller en Instagram;
Instagram;IG_03;Publico mantenimientos, diagnosticos y reparaciones para que veas como trabajo dia a dia.;
Instagram;IG_04;Seguir @tallerg.c;
Instagram;IG_05;Ver trabajos;
Contacto;CONT_01;Contacto directo;
Contacto;CONT_02;Contanos tu caso y te ayudamos;
Contacto;CONT_03;Respuesta rapida por WhatsApp con orientacion inicial y presupuesto.;
Contacto;CONT_04;Informacion de contacto;
Contacto;CONT_05;Direccion;
Contacto;CONT_06;La Teja, Montevideo;
Contacto;CONT_07;Telefono;
Contacto;CONT_08;092 084 766;
Contacto;CONT_09;WhatsApp;
Contacto;CONT_10;Enviar mensaje;
Contacto;CONT_11;Atencion personalizada;
Contacto;CONT_12;Horario a convenir segun tu necesidad.;
Contacto;CONT_13;Contacto inmediato;
